,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,distance_from_metro(meters),log_price,bathroom_is_private,a few days or more,within a day,within a few hours,within an hour,Entire home/apt,Hotel room,Private room,Shared room,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,ΑΚΡΟΠΟΛΗ,ΑΜΠΕΛΟΚΗΠΟΙ,ΑΝΩ ΚΥΨΕΛΗ,ΑΝΩ ΠΑΤΗΣΙΑ,ΒΟΤΑΝΙΚΟΣ,ΓΚΑΖΙ,ΓΚΥΖΗ,ΓΟΥΒΑ,ΓΟΥΔΙ,ΕΛΛΗΝΟΡΩΣΩΝ,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,ΖΑΠΠΕΙΟ,ΘΗΣΕΙΟ,ΙΛΙΣΙΑ,ΚΕΡΑΜΕΙΚΟΣ,ΚΟΛΟΚΥΝΘΟΥ,ΚΟΛΩΝΑΚΙ,ΚΟΛΩΝΟΣ,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,ΚΥΨΕΛΗ,ΛΥΚΑΒΗΤΤΟΣ,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,ΝΕΑ ΚΥΨΕΛΗ,ΝΕΟΣ ΚΟΣΜΟΣ,ΝΙΡΒΑΝΑ,ΠΑΓΚΡΑΤΙ,ΠΑΤΗΣΙΑ,ΠΕΔΙΟ ΑΡΕΩΣ,ΠΕΝΤΑΓΩΝΟ,ΠΕΤΡΑΛΩΝΑ,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,ΠΟΛΥΓΩΝΟ,ΠΡΟΜΠΟΝΑ,ΡΗΓΙΛΛΗΣ,ΡΙΖΟΥΠΟΛΗ,ΣΕΠΟΛΙΑ,ΣΤΑΔΙΟ,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ
0,100.0,97.0,1,6.0,1,37.98863,23.76527,8,2.0,3.0,5.0,16.596542346542343,84.0,1,45,1,53,25,97.0,10.0,10.0,10.0,10.0,9.0,10.0,1,6,6,0,0,0.21,1360.9367165396013,4.430816798843313,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100.0,97.0,1,6.0,1,37.98903,23.76448,4,1.0,1.0,1.0,18.256604506604504,50.0,1,60,1,81,44,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,6,6,0,0,0.43,1342.2908156798826,3.912023005428146,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100.0,97.0,1,6.0,1,37.98888,23.76473,2,1.0,1.0,1.0,15.197940947940948,40.0,1,60,1,85,58,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1,6,6,0,0,0.57,1345.840147549081,3.6888794541139363,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,100.0,97.0,1,6.0,1,37.98903,23.76448,4,1.0,1.0,2.0,15.483294483294484,50.0,1,60,1,53,23,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,6,6,0,0,0.18,1342.2908156798826,3.912023005428146,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,100.0,97.0,1,6.0,1,37.98924,23.765,4,1.0,1.0,1.0,17.269813519813518,50.0,1,30,1,81,17,95.0,10.0,10.0,10.0,10.0,9.0,9.0,1,6,6,0,0,0.17,1390.8849998077053,3.912023005428146,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,100.0,100.0,1,2.0,1,37.9768,23.72924,4,1.0,1.0,2.0,21.317210567210566,40.0,2,1125,1,89,455,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,2,2,0,0,4.27,341.43184769573287,3.6888794541139363,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,100.0,100.0,1,5.0,1,37.97692,23.7304,7,1.5,3.0,5.0,20.596736596736594,120.0,2,365,1,52,121,93.0,10.0,9.0,10.0,10.0,10.0,10.0,0,1,1,0,0,1.05,319.9471296535808,4.787491742782046,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,100.0,98.0,1,3.0,1,37.99429,23.70901,2,1.5,1.0,1.0,21.882284382284382,26.0,2,1125,1,0,458,96.0,10.0,10.0,10.0,10.0,9.0,10.0,1,2,2,0,0,3.82,145.57978216941325,3.258096538021482,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,100.0,91.0,0,9.0,1,38.00172,23.74866,5,1.5,1.0,0.0,19.227661227661226,53.0,2,365,1,90,29,94.0,9.0,10.0,10.0,10.0,9.0,9.0,1,9,9,0,0,0.27,98.59484431546132,3.970291913552122,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,100.0,91.0,0,9.0,1,38.00172,23.74866,7,1.0,2.0,7.0,19.913170163170165,58.0,2,365,1,90,41,96.0,10.0,10.0,10.0,10.0,9.0,9.0,1,9,9,0,0,0.35,98.59484431546132,4.060443010546419,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,100.0,0.0,0,1.0,1,37.96937,23.7417,5,1.0,2.0,4.0,18.317016317016318,34.0,3,90,1,89,41,89.0,10.0,9.0,10.0,10.0,9.0,9.0,0,1,1,0,0,0.4,618.3891103999724,3.5263605246161616,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,0.0,30.0,0,1.0,1,37.97787,23.73829,2,1.0,1.0,1.0,16.86149961149961,11.0,2,250,1,0,39,88.0,8.0,9.0,9.0,9.0,10.0,9.0,0,1,1,0,0,0.34,435.8897207862662,2.3978952727983707,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,80.0,100.0,1,4.0,0,37.96791,23.72933,3,1.0,1.0,0.0,18.505244755244757,60.0,2,365,1,90,27,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,3,3,0,0,0.33,901.2732518675717,4.0943445622221,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
