,host_is_superhost,host_total_listings_count,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_90,number_of_reviews,review_scores_rating,review_scores_location,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,log_price,bathroom_is_private,Entire home/apt,Hotel room,Private room,Shared room,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,ΑΚΡΟΠΟΛΗ,ΑΜΠΕΛΟΚΗΠΟΙ,ΑΝΩ ΚΥΨΕΛΗ,ΑΝΩ ΠΑΤΗΣΙΑ,ΒΟΤΑΝΙΚΟΣ,ΓΚΑΖΙ,ΓΚΥΖΗ,ΓΟΥΒΑ,ΓΟΥΔΙ,ΕΛΛΗΝΟΡΩΣΩΝ,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,ΖΑΠΠΕΙΟ,ΘΗΣΕΙΟ,ΙΛΙΣΙΑ,ΚΕΡΑΜΕΙΚΟΣ,ΚΟΛΟΚΥΝΘΟΥ,ΚΟΛΩΝΑΚΙ,ΚΟΛΩΝΟΣ,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,ΚΥΨΕΛΗ,ΛΥΚΑΒΗΤΤΟΣ,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,ΝΕΑ ΚΥΨΕΛΗ,ΝΕΟΣ ΚΟΣΜΟΣ,ΝΙΡΒΑΝΑ,ΠΑΓΚΡΑΤΙ,ΠΑΤΗΣΙΑ,ΠΕΔΙΟ ΑΡΕΩΣ,ΠΕΝΤΑΓΩΝΟ,ΠΕΤΡΑΛΩΝΑ,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,ΠΟΛΥΓΩΝΟ,ΠΡΟΜΠΟΝΑ,ΡΗΓΙΛΛΗΣ,ΡΙΖΟΥΠΟΛΗ,ΣΕΠΟΛΙΑ,ΣΤΑΔΙΟ,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ
0,1,6.0,1,37.98863,23.76527,8,3.0,5.0,16.142463368634843,84.0,1,45,1,53,25,97.0,9.0,1,6,6,0,0,4.430816798843313,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6.0,1,37.98903,23.76448,4,1.0,1.0,17.7755694182504,50.0,1,60,1,81,44,98.0,10.0,1,6,6,0,0,3.912023005428146,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6.0,1,37.98888,23.76473,2,1.0,1.0,14.754678659509645,40.0,1,60,1,85,58,97.0,10.0,1,6,6,0,0,3.6888794541139363,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,6.0,1,37.98903,23.76448,4,1.0,2.0,15.04395763818366,50.0,1,60,1,53,23,96.0,10.0,1,6,6,0,0,3.912023005428146,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,6.0,1,37.98924,23.765,4,1.0,1.0,16.78688524590164,50.0,1,30,1,81,17,95.0,9.0,1,6,6,0,0,3.912023005428146,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2.0,1,37.9768,23.72924,4,1.0,2.0,20.672711446394896,40.0,2,1125,1,89,455,96.0,10.0,0,2,2,0,0,3.6888794541139363,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,2.0,0,38.00853,23.72938,5,2.0,2.0,21.023502103583347,40.0,5,365,1,90,71,94.0,9.0,0,2,2,0,0,3.6888794541139363,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,5.0,1,37.97692,23.7304,7,3.0,5.0,20.071957057884813,120.0,2,365,1,52,121,93.0,10.0,0,1,1,0,0,4.787491742782046,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,1.0,0,37.968109999999996,23.74345,2,1.0,1.0,8.200783403452778,70.0,10,730,1,88,3,100.0,10.0,0,1,1,0,0,4.248495242049359,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,0,1.0,1,37.99095,23.72195,6,4.0,5.0,20.899898447700565,56.0,2,250,1,90,331,95.0,9.0,1,1,1,0,0,4.02535169073515,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,1.0,1,37.96543,23.74025,3,1.0,3.0,21.185115334397217,28.0,3,300,1,90,9,98.0,10.0,0,1,1,0,0,3.332204510175204,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,3.0,1,37.99429,23.70901,2,1.0,1.0,21.193094443638476,26.0,2,1125,1,0,458,96.0,9.0,1,2,2,0,0,3.258096538021482,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,1.0,0,37.96301,23.72549,4,1.0,1.0,6.648774118671116,60.0,4,365,1,89,8,93.0,9.0,0,1,1,0,0,4.0943445622221,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,1.0,0,37.96403,23.74407,4,1.0,3.0,4.298418685623095,45.0,4,730,1,90,21,88.0,9.0,0,1,1,0,0,3.8066624897703196,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,1.0,1,37.98568,23.73388,3,1.0,2.0,10.126505150152328,32.0,8,180,1,0,250,99.0,10.0,0,1,1,0,0,3.4657359027997265,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,1.0,1,37.9726,23.725360000000002,3,1.0,1.0,16.24575656463078,65.0,2,32,1,65,122,94.0,10.0,0,1,1,0,0,4.174387269895637,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,9.0,1,38.00172,23.74866,5,1.0,0.0,18.711301320179896,53.0,2,365,1,90,29,94.0,9.0,1,9,9,0,0,3.970291913552122,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,9.0,1,38.00172,23.74866,7,2.0,7.0,19.3742927607718,58.0,2,365,1,90,41,96.0,9.0,1,9,9,0,0,4.060443010546419,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,1.0,1,37.96783,23.7497,4,2.0,2.0,20.949368924996374,52.0,2,300,1,0,59,99.0,9.0,0,1,1,0,0,3.9512437185814275,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,1.0,1,37.96937,23.7417,5,2.0,4.0,17.83156825765269,34.0,3,90,1,89,41,89.0,9.0,0,1,1,0,0,3.5263605246161616,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,0,1.0,1,37.97787,23.73829,2,1.0,1.0,16.368344697519223,11.0,2,250,1,0,39,88.0,10.0,0,1,1,0,0,2.3978952727983707,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0.0,1,37.98652,23.73528,4,1.0,1.0,8.467430726824315,55.0,3,365,1,89,175,94.0,10.0,0,1,1,0,0,4.007333185232471,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,4.0,0,37.967909999999996,23.729329999999997,3,1.0,0.0,18.089656172929057,60.0,2,365,1,90,27,97.0,10.0,0,3,3,0,0,4.0943445622221,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,20.0,1,37.966,23.744429999999998,6,2.0,2.0,20.805454809226752,46.0,1,730,1,0,171,93.0,10.0,1,19,19,0,0,3.828641396489095,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,0,3.0,1,37.97537,23.73337,4,2.0,2.0,16.85811693021906,35.0,2,30,1,89,112,82.0,10.0,0,2,2,0,0,3.5553480614894135,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,3.0,1,37.97503,23.73236,2,1.0,1.0,14.232119541563907,36.0,2,30,1,89,47,83.0,10.0,0,2,2,0,0,3.58351893845611,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,2.0,1,37.97846,23.70955,1,1.0,1.0,19.64775859567677,19.0,5,16,1,80,12,98.0,10.0,0,1,0,1,0,2.9444389791664403,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,141.0,1,37.961009999999995,23.73623,8,3.0,5.0,16.629334107065137,84.0,2,730,1,90,164,92.0,9.0,1,67,52,15,0,4.430816798843313,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
