host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,bathroom_is_private,Entire home/apt,Hotel room,Private room,Shared room,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,ΑΚΡΟΠΟΛΗ,ΑΜΠΕΛΟΚΗΠΟΙ,ΑΝΩ ΚΥΨΕΛΗ,ΑΝΩ ΠΑΤΗΣΙΑ,ΒΟΤΑΝΙΚΟΣ,ΓΚΑΖΙ,ΓΚΥΖΗ,ΓΟΥΒΑ,ΓΟΥΔΙ,ΕΛΛΗΝΟΡΩΣΩΝ,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,ΖΑΠΠΕΙΟ,ΘΗΣΕΙΟ,ΙΛΙΣΙΑ,ΚΕΡΑΜΕΙΚΟΣ,ΚΟΛΟΚΥΝΘΟΥ,ΚΟΛΩΝΑΚΙ,ΚΟΛΩΝΟΣ,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,ΚΥΨΕΛΗ,ΛΥΚΑΒΗΤΤΟΣ,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,ΝΕΑ ΚΥΨΕΛΗ,ΝΕΟΣ ΚΟΣΜΟΣ,ΝΙΡΒΑΝΑ,ΠΑΓΚΡΑΤΙ,ΠΑΤΗΣΙΑ,ΠΕΔΙΟ ΑΡΕΩΣ,ΠΕΝΤΑΓΩΝΟ,ΠΕΤΡΑΛΩΝΑ,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,ΠΟΛΥΓΩΝΟ,ΠΡΟΜΠΟΝΑ,ΡΗΓΙΛΛΗΣ,ΡΙΖΟΥΠΟΛΗ,ΣΕΠΟΛΙΑ,ΣΤΑΔΙΟ,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,a few days or more,within a day,within a few hours,within an hour
100.0,97.0,1,6.0,6.0,1,1,8,2.0,3.0,5.0,84.0,1,45,1.0,4.0,45.0,45.0,1.9,45.0,1,0,23,53,234,25,2,0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,1,6,6,0,0,0.21,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,97.0,1,6.0,6.0,1,1,4,1.0,1.0,1.0,50.0,1,60,1.0,2.0,60.0,60.0,1.2,60.0,1,21,51,81,356,44,11,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,6,6,0,0,0.43,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,97.0,1,6.0,6.0,1,1,4,1.0,1.0,2.0,50.0,1,60,1.0,2.0,60.0,60.0,1.2,60.0,1,0,23,53,325,23,3,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,6,6,0,0,0.18,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,97.0,1,6.0,6.0,1,1,4,1.0,1.0,1.0,50.0,1,30,1.0,2.0,30.0,30.0,1.2,30.0,1,21,51,81,356,17,0,0,95.0,10.0,10.0,10.0,10.0,9.0,9.0,1,6,6,0,0,0.17,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,1,2.0,2.0,1,1,4,1.0,1.0,2.0,40.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,1,29,59,89,364,455,3,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,2,2,0,0,4.27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,1,5.0,5.0,1,1,7,1.5,3.0,5.0,120.0,2,365,2.0,2.0,365.0,365.0,2.0,365.0,1,0,22,52,321,121,0,0,93.0,10.0,9.0,10.0,10.0,10.0,10.0,0,1,1,0,0,1.05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100.0,98.0,1,3.0,3.0,1,1,2,1.5,1.0,1.0,26.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,1,0,0,0,267,458,21,0,96.0,10.0,10.0,10.0,10.0,9.0,10.0,1,2,2,0,0,3.82,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100.0,91.0,0,9.0,9.0,1,1,5,1.5,1.0,0.0,53.0,2,365,2.0,2.0,365.0,365.0,2.0,365.0,1,30,60,90,365,29,0,0,94.0,9.0,10.0,10.0,10.0,9.0,9.0,1,9,9,0,0,0.27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100.0,91.0,0,9.0,9.0,1,1,7,1.0,2.0,7.0,58.0,2,365,2.0,2.0,365.0,365.0,2.0,365.0,1,30,60,90,365,41,2,1,96.0,10.0,10.0,10.0,10.0,9.0,9.0,1,9,9,0,0,0.35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100.0,0.0,0,1.0,1.0,1,1,5,1.0,2.0,4.0,34.0,3,90,3.0,3.0,90.0,90.0,3.0,90.0,1,29,59,89,179,41,0,0,89.0,10.0,9.0,10.0,10.0,9.0,9.0,0,1,1,0,0,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
