station,latitude,longitude
???????,38.073752,23.808161
???,38.065926,23.804092
???????,38.056229,23.804945
?????????????,38.044978,23.793187
???????,38.043329,23.783135
????????,38.046412,23.765769
??? ?????,38.041580,23.754962
????????,38.037097,23.750164
????????,38.032800,23.744738
??? ???????,38.023834,23.735007
????? ??????????,38.020028,23.731729
???? ???????,38.011753,23.728665
????? ???????? ,38.006973,23.727701
??????,37.999528,23.722862
??????? ?????????,37.993154,23.730183
??????,37.984099,23.728679
???????????,37.976071,23.725589
??????,37.976628,23.720612
?????????,37.968545,23.709168
??????,37.962474,23.703481
????????,37.960417,23.697347
???????,37.955007,23.679677
??????,37.945110,23.665191
?.??????????,38.024605,23.834275
????????,38.021509,23.821182
???? ?????????,38.017100,23.812493
???????????????,38.009043,23.805771
???????? ,38.004556,23.974726
?????? ?????,38.000081,23.785576
????????,37.993017,23.776389
????????,37.993050,23.763403
???????????,37.987212,23.757012
???.????????,37.979142,23.752850
????????????,37.975934,23.746662
????????,37.974679,23.735624
?????????,37.978632,23.711214
????????,37.987707,23.694042
???????,37.991898,23.681914
???? ??????,37.997194,23.667253
????????,37.892566,23.747134
???????????,37.903009,23.745518
??????,37.918074,23.744216
?????????,37.929638,23.744477
????? ?????????,37.940419,23.740738
?????,37.949214,23.737154
????? ???????,37.956362,23.734684
???? ??????,37.957531,23.728334
??? ???????,37.964257,23.726639
????????,37.968831,23.729544
????????????,37.980328,23.733016
????????????,37.986221,23.721057
??.???????,37.991957,23.721075
???????,38.002607,23.714056
????? ????????,38.006540,23.699552
?????????,38.012868,23.695752
?????????,38.017116,23.691020
